Habit,# leaves sampled,# Pinnae,Leaf sizev (cm),Petiole size,Pinnae size  (cm),laminae widht (cm),pinnae withd (cm),Petiole Scales size (mm)
1 terrestrial,2,1,13,4.5,5,10,3.3,4
2 Terrestrial,2,3,18,6,5.5,10,4,3.5
3 Terrestrial,2,3,21,8.5,6,9.7,3.5,4
4 Terrestrial,2,3,18,5.8,6,9,4,3
1 Climbing,2,5,23,11,8,18,6,2.5
2 Climbing,2,5,23.4,11,8,17,5.5,2.8
3 Climbing ,2,5,22.7,11,7.6,17.7,4.8,3.3
4 Climbing,2,3,17.5,8,8,17.5,6,3.5
1 Reophytic,2,5,15,7.8,5,8,3,2
2 Reophytic,2,5,16.2,8,6,8,2.5,1.8
3 Reophytic,2,3,15.4,7,5,9,3.2,2.1
4 Reophytic,2,3,14.8,7.2,5,8,3,1.9